dataset,target_data_usage,model,method,variant,acc_mean,acc_std,runtime_sec_sum,baseline_variant,baseline_acc_mean,p_value,p_holm,effect_rank_biserial,neg_transfer_ratio,p_vs_ea,p_holm_vs_ea,effect_vs_ea,p_vs_tsa,p_holm_vs_tsa,effect_vs_tsa
bci_iv_2b,online_prefix_unlabeled,csp_lda,identity,identity,0.6982368074989335,0.08279826899465476,33.29267141036689,identity,0.6982368074989335,,,,,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ea,ea,0.6972308738046613,0.11137335136743469,43.387744698207825,identity,0.6982368074989335,0.734375,1.0,-0.15555555555555556,0.6666666666666666,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ra,ra,0.7004796463129797,0.10784823081349461,48.32836124813184,identity,0.6982368074989335,0.734375,1.0,-0.15555555555555556,0.5555555555555556,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ra_riemann,ra_riemann,0.7011313299883991,0.1062806344037941,32.038811846636236,identity,0.6982368074989335,0.734375,1.0,-0.15555555555555556,0.5555555555555556,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,coral,coral,0.7004796463129797,0.10784823081349461,44.379822321236134,identity,0.6982368074989335,0.734375,1.0,-0.15555555555555556,0.5555555555555556,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa,0.7204695407481786,0.10559002308891627,135.32615622179583,identity,0.6982368074989335,0.1640625,1.0,0.5555555555555556,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_no_spec,0.7195215080921995,0.10598223664443715,139.91538549633697,identity,0.6982368074989335,0.203125,1.0,0.5111111111111111,0.4444444444444444,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_no_damp,0.7088809785017215,0.10825324779696661,139.86229824554175,identity,0.6982368074989335,0.8203125,1.0,0.1111111111111111,0.5555555555555556,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_no_energy,0.7204604630430224,0.10587876972595105,152.6319233304821,identity,0.6982368074989335,0.1640625,1.0,0.5555555555555556,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_trigger,0.7223812434725748,0.106227062523661,136.25799003476277,identity,0.6982368074989335,0.1640625,1.0,0.5555555555555556,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ea_pp,ea_pp,0.7036614271650392,0.11097512327918685,143.27709291083738,identity,0.6982368074989335,1.0,1.0,0.022222222222222223,0.5555555555555556,0.0703125,0.28125,0.7222222222222222,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ea_pp,ea_pp_no_spec,0.6975422920340361,0.11158394613232006,156.06437522917986,identity,0.6982368074989335,0.65234375,1.0,-0.2,0.6666666666666666,0.71875,1.0,0.16666666666666666,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ea_pp,ea_pp_no_energy,0.702309636778161,0.11067029165041407,140.76558619365096,identity,0.6982368074989335,0.84375,1.0,-0.08888888888888889,0.6666666666666666,0.2109375,0.6328125,0.5277777777777778,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ea_pp,ea_pp_k0,0.6972308738046613,0.11137335136743469,116.98669548658654,identity,0.6982368074989335,0.734375,1.0,-0.15555555555555556,0.6666666666666666,1.0,1.0,0.0,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p05_lr0_15,0.7136786683484311,0.10544631535051087,136.49415105674416,identity,0.6982368074989335,0.359375,1.0,0.37777777777777777,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p1_lr0_15,0.7180538123262582,0.10576909555063288,144.6306306682527,identity,0.6982368074989335,0.12890625,1.0,0.6,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p2_lr0_15,0.7198710449355444,0.10543058382063049,137.98806385602802,identity,0.6982368074989335,0.1640625,1.0,0.5555555555555556,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p5_tau0p2,0.716635533882696,0.1038591477293198,144.7745091021061,identity,0.6982368074989335,0.375,1.0,0.35555555555555557,0.4444444444444444,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p5_tau0p5,0.7168914915947942,0.10426515914554746,263.8997246543877,identity,0.6982368074989335,0.42578125,1.0,0.3333333333333333,0.4444444444444444,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_damp0p8_tau0p5,0.7184814845805558,0.10894729854831016,297.55706661986187,identity,0.6982368074989335,0.25,1.0,0.5,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_no_damp_lr0_15,0.7135676827498293,0.10117385674916182,133.68958726432174,identity,0.6982368074989335,0.359375,1.0,0.37777777777777777,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_tau0p2,0.7210735761561354,0.1062874445381791,138.15341345174238,identity,0.6982368074989335,0.12890625,1.0,0.6,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_tau1p0,0.7061272056370095,0.09291640651186424,140.58807248575613,identity,0.6982368074989335,0.42578125,1.0,0.3333333333333333,0.4444444444444444,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_v11_identity_output,0.7194842158980446,0.10376556539498198,265.1624982492067,identity,0.6982368074989335,0.09765625,1.0,0.6444444444444445,0.3333333333333333,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_v11_logema,0.7203782988354712,0.10552175969532503,463.2466291352175,identity,0.6982368074989335,0.07421875,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_v11_logmean_shrink0p1,0.7229821668934157,0.10409340476031563,217.9558582981117,identity,0.6982368074989335,0.046875,1.0,0.8055555555555556,0.1111111111111111,,,,,,
bci_iv_2b,online_prefix_unlabeled,csp_lda,ifsa,ifsa_v11_source_quantile_trigger,0.708757260872844,0.08960857400686818,277.8113297424279,identity,0.6982368074989335,0.25,1.0,0.4666666666666667,0.4444444444444444,,,,,,
bci_iv_2b,online_prefix_unlabeled,mdm,identity,identity,0.7088344923871239,0.09863449148201742,25.647988276556134,identity,0.7088344923871239,,,,,,,,,,
