dataset,target_data_usage,model,method,variant,acc_mean,acc_std,runtime_sec_sum,baseline_variant,baseline_acc_mean,p_value,p_holm,effect_rank_biserial,neg_transfer_ratio,p_vs_ea,p_holm_vs_ea,effect_vs_ea,p_vs_tsa,p_holm_vs_tsa,effect_vs_tsa
bci_iv_2b,transductive_unlabeled_all,csp_lda,identity,identity,0.6982368074989335,0.08279826899465476,37.54487539594993,identity,0.6982368074989335,,,,,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea,ea,0.7284955233871643,0.11343481452450965,45.49578065099195,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ra,ra,0.7269426289034132,0.11347291458780275,56.139947006478906,identity,0.6982368074989335,0.1640625,1.0,0.5833333333333334,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ra_riemann,ra_riemann,0.7268055077781599,0.11316921135947722,31.21725690504536,identity,0.6982368074989335,0.17578125,1.0,0.5333333333333333,0.3333333333333333,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,coral,coral,0.7269426289034132,0.11347291458780275,45.490017412696034,identity,0.6982368074989335,0.1640625,1.0,0.5833333333333334,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa,0.7272289317180958,0.10729472241138198,152.26497526606545,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_spec,0.7273221363778639,0.10839241744805692,140.5235157404095,identity,0.6982368074989335,0.09765625,1.0,0.6444444444444445,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp,0.7260115636792623,0.10667991453823977,139.0256912088953,identity,0.6982368074989335,0.07421875,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_energy,0.727379081868246,0.10761002504972673,143.2281160694547,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_trigger,0.7265995742904928,0.10692918819076325,147.05786274699494,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,coral_safe,coral_safe_v1,0.7196498872453465,0.10855445391777686,22.544901367276907,identity,0.6982368074989335,0.125,1.0,0.7619047619047619,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_final_v1,0.7141806021707982,0.08313775334475534,31.608757488895208,identity,0.6982368074989335,0.125,1.0,1.0,0.0,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_final_v2,0.7316138248671789,0.10778867794729165,34.453298011329025,identity,0.6982368074989335,0.03125,0.9375,1.0,0.0,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_15,0.7267119028212939,0.10413057324498212,139.9935865108855,identity,0.6982368074989335,0.0390625,1.0,0.7777777777777778,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v11_logmean_shrink0p1,0.726107867413337,0.10291379395879463,31.0777942892164,identity,0.6982368074989335,0.07421875,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v13_tg_beta0p5_full,0.724271394717731,0.10140823111326515,31.05544666480273,identity,0.6982368074989335,0.0390625,1.0,0.8333333333333334,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v13_tg_beta1_full,0.7274311334037855,0.1130365216739741,30.949842338915914,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v13_tg_beta1_full_arith,0.7299807030973181,0.11511207570620062,24.889393331017345,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v13_tg_beta1_partial,0.7273290318181959,0.11090032621442301,34.58248094841838,identity,0.6982368074989335,0.09765625,1.0,0.6444444444444445,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v21_track_hold_q0p90_disc0p001,0.7178063770685029,0.11215721340740266,52.42841383535415,identity,0.6982368074989335,0.15625,1.0,0.7142857142857143,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,0.7179606980561574,0.11224022002656042,38.92035455722362,identity,0.6982368074989335,0.15625,1.0,0.7142857142857143,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v28_ctrl,0.7274311334037855,0.1130365216739741,31.095495749730617,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v28_disc_hold_tau0p01,0.7233645668372191,0.10673321186440883,37.934485436882824,identity,0.6982368074989335,0.21875,1.0,0.6190476190476191,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v28_disc_hold_tau0p012,0.7233645668372191,0.10673321186440883,38.22258102428168,identity,0.6982368074989335,0.21875,1.0,0.6190476190476191,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v28_disc_hold_tau0p02,0.7233645668372191,0.10673321186440883,36.75640181358904,identity,0.6982368074989335,0.21875,1.0,0.6190476190476191,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v29_track_scale_tau0p5_hold0p5_disc0p008,0.7303632321692177,0.10887230166961281,38.361803450621665,identity,0.6982368074989335,0.0546875,1.0,0.7777777777777778,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v29_track_scale_tau0p5_hold0p5_disc0p009,0.7303632321692177,0.10887230166961281,37.89395223604515,identity,0.6982368074989335,0.0546875,1.0,0.7777777777777778,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v29_track_scale_tau0p5_hold0p5_disc0p01,0.7303632321692177,0.10887230166961281,38.53804137092084,identity,0.6982368074989335,0.0546875,1.0,0.7777777777777778,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v30_track_scale_tau0p5_hold0p5_disc0p008_low0p85,0.7328323679716868,0.10781290456821684,37.38525893678889,identity,0.6982368074989335,0.015625,0.484375,1.0,0.0,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v31_track_scale_tau0p7_hold0p6_disc0p001,0.7267245057234738,0.11222525591287043,33.16863361513242,identity,0.6982368074989335,0.078125,1.0,0.7857142857142857,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v32_euclid_thrust_track_scale_tau0p5_hold0p5_disc0p001,0.7202671711959637,0.10887056490712978,35.86107806582004,identity,0.6982368074989335,0.125,1.0,0.7619047619047619,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v33_euclid_thrust_track_scale_tau0p7_hold0p6_disc0p001,0.729299010052364,0.10873842901118504,33.132604772690684,identity,0.6982368074989335,0.0625,1.0,0.8214285714285714,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,identity,identity,0.7088344923871239,0.09863449148201742,11.486279631499201,identity,0.7088344923871239,,,,,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,ea,ea,0.7273900448436053,0.11363768363328206,46.282046891283244,identity,0.7088344923871239,0.25,1.0,0.4666666666666667,0.3333333333333333,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,ra,ra,0.7292260010268268,0.1115629743174998,41.451508440077305,identity,0.7088344923871239,0.30078125,1.0,0.4222222222222222,0.4444444444444444,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,coral,coral,0.7292260010268268,0.1115629743174998,41.45915625663474,identity,0.7088344923871239,0.30078125,1.0,0.4222222222222222,0.4444444444444444,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,tl_center_scale,tl_center_scale,0.7267721539909362,0.11228082117114926,15.436185888946056,identity,0.7088344923871239,0.42578125,1.0,0.3333333333333333,0.5555555555555556,,,,,,
bci_iv_2b,transductive_unlabeled_all,tangent_lda,tsa,tsa,0.6960909697106809,0.12313266575504604,6.7789969551377,tangent_identity,0.7254313136666078,0.01953125,0.0390625,-0.8666666666666667,0.8888888888888888,,,,,,
bci_iv_2b,transductive_unlabeled_all,tangent_lda,tsa_ss,tsa_ss,0.7254313136666078,0.1084731503370769,8.370183602906764,tangent_identity,0.7254313136666078,1.0,1.0,0.0,0.0,,,,0.01953125,0.01953125,0.8666666666666667
