dataset,method,variant,model,target_data_usage,subject,acc,kappa,n_trials_used_for_alignment,runtime_sec,spec_var_before,spec_var_after,control_energy,track_error_before,track_error_after,triggered,trigger_tau_eff,dispersion_target,dispersion_before,dispersion_after,dispersion_scale_eff,baseline_method,baseline_n_trials_used_for_alignment,baseline_acc,baseline_kappa,neg_transfer,acc_std,kappa_std,neg_transfer_ratio,spec_var_before_mean,spec_var_after_mean,control_energy_mean,track_error_before_mean,track_error_after_mean,triggered_mean,trigger_tau_eff_mean,wilcoxon_p,wilcoxon_p_holm,effect_rank_biserial
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,1,0.6861111111111111,0.37222222222222223,20,4.979359301738441,0.5470768169138596,0.7879628893998896,0.26636546865163163,0.8614919074811278,0.24692085252179446,1.0,0.5,,,,1.0,identity,20.0,0.7013888888888888,0.4027777777777778,True,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,2,0.5911764705882353,0.1823529411764706,20,4.667974625248462,0.8331683276544123,0.7765591115032094,0.4861661750140278,1.0883758916268573,0.23309258515958897,1.0,0.5,,,,1.0,identity,20.0,0.5911764705882353,0.1823529411764706,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,3,0.5680555555555555,0.13611111111111107,20,4.539163811132312,1.1815431088882888,0.9478215912174379,0.3307849891105918,1.401466099863683,0.4385589768402668,1.0,0.5,,,,1.0,identity,20.0,0.5527777777777778,0.10555555555555551,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,4,0.9162162162162162,0.8324324324324324,20,4.432436712086201,0.8265607702674498,0.8378979663412217,0.20896600080828925,0.711420876952556,0.2062006027251153,1.0,0.5,,,,1.0,identity,20.0,0.7986486486486486,0.5972972972972973,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,5,0.7567567567567568,0.5135135135135135,20,4.539712549652904,1.2474464353607972,1.1153658602524135,0.3159497157168962,0.7441967455662,0.16557825109106475,1.0,0.5,,,,1.0,identity,20.0,0.7391891891891892,0.4783783783783784,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,6,0.7513888888888889,0.5027777777777778,20,7.226799005642533,1.4051615340207353,1.4051615340207353,0.0,0.46113111740286317,0.46113111740286317,0.0,0.5,,,,1.0,identity,20.0,0.7416666666666667,0.4833333333333333,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,7,0.7152777777777778,0.4305555555555556,20,5.114554820116609,0.4417237074794138,0.7368411716204535,0.9958725531537036,1.915356410866436,0.3835786544023135,1.0,0.5,,,,1.0,identity,20.0,0.6875,0.375,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,8,0.7315789473684211,0.4631578947368421,20,7.6902635879814625,1.232208100385019,1.0818336635768104,0.18363249980124696,0.5586663628141177,0.1492413992499674,1.0,0.5,,,,1.0,identity,20.0,0.6828947368421052,0.36578947368421055,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,9,0.7902777777777777,0.5805555555555555,20,5.065793176181614,0.862976611071909,0.8932824103355669,0.48991608208060616,1.0997053111745836,0.23507920776533023,1.0,0.5,,,,1.0,identity,20.0,0.7888888888888889,0.5777777777777777,False,,,,,,,,,,,,,
bci_iv_2b,ifsa,ifsa_v11_logmean_shrink0p1,csp_lda,online_prefix_unlabeled,__summary__,0.7229821668934157,0.4459643337868312,180,48.25605758978054,,,,,,,,,,,,,,,,,0.10409340476031563,0.20818680952063123,0.1111111111111111,0.9530961568935429,0.953636244251971,0.3641837204818882,0.982423413749825,0.2799312941287005,0.8888888888888888,0.5,0.046875,0.046875,0.8055555555555556
