dataset,method,variant,model,target_data_usage,subject,acc,kappa,n_trials_used_for_alignment,runtime_sec,ifsa_safety_gate_factor,ifsa_safety_hold,ifsa_safety_score_mode,ifsa_safety_score_target,ifsa_safety_tau_source,ifsa_safety_tau_eff,ifsa_safety_quantile,ifsa_safety_disc_loss,ifsa_safety_disc_loss_tau,baseline_method,baseline_n_trials_used_for_alignment,baseline_acc,baseline_kappa,neg_transfer,acc_std,kappa_std,neg_transfer_ratio,ifsa_safety_gate_factor_mean,ifsa_safety_hold_mean,ifsa_safety_score_mode_mean,ifsa_safety_score_target_mean,ifsa_safety_tau_source_mean,ifsa_safety_tau_eff_mean,ifsa_safety_quantile_mean,ifsa_safety_disc_loss_mean,ifsa_safety_disc_loss_tau_mean,wilcoxon_p,wilcoxon_p_holm,effect_rank_biserial
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,1,0.6545138888888888,0.5393518518518519,576,40.377963514998555,1.0,0.0,0.0,2.428638410215942,5.079384708881694,2.539692354440847,0.9,,0.001,identity,576.0,0.4583333333333333,0.2777777777777778,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,2,0.3072916666666667,0.07638888888888884,576,38.3689510980621,1.0,0.0,0.0,3.474235312539147,4.992614528202752,2.496307264101376,0.9,0.0,0.001,identity,576.0,0.2638888888888889,0.01851851851851849,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,3,0.7222222222222222,0.6296296296296297,576,37.652430756017566,1.0,0.0,0.0,2.6271601303093153,5.095103532000112,2.547551766000056,0.9,0.0,0.001,identity,576.0,0.5434027777777778,0.3912037037037037,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,4,0.4479166666666667,0.26388888888888884,576,56.53040904691443,0.8375845127410804,0.0,0.0,3.0093718988391536,5.041206591091784,2.520603295545892,0.9,0.005600025739489589,0.001,identity,576.0,0.3663194444444444,0.15509259259259256,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,5,0.3107638888888889,0.08101851851851849,576,37.61779466085136,1.0,0.0,0.0,5.925594076424961,3.9041189679970354,1.9520594839985177,0.9,0.0,0.001,identity,576.0,0.2673611111111111,0.02314814814814814,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,6,0.3697916666666667,0.1597222222222222,576,37.42188523104414,1.0,0.0,0.0,4.523647120317895,5.076939933742717,2.5384699668713586,0.9,0.0,0.001,identity,576.0,0.2552083333333333,0.00694444444444442,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,7,0.5347222222222222,0.37962962962962965,576,35.90483274869621,1.0,0.0,0.0,2.3936096206420863,5.0732124038164415,2.5366062019082207,0.9,,0.001,identity,576.0,0.3767361111111111,0.1689814814814815,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,8,0.6631944444444444,0.5509259259259259,576,56.0456955418922,0.740443436334466,0.0,0.0,3.444854980686487,5.101440519146806,2.550720259573403,0.9,0.012777352214454418,0.001,identity,576.0,0.6302083333333334,0.5069444444444444,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,9,0.578125,0.4375,576,37.621919189114124,0.0,1.0,0.0,5.668824719786692,4.522444749795756,2.261222374897878,0.9,0.010069689151693817,0.001,identity,576.0,0.578125,0.4375,False,,,,,,,,,,,,,,,
bci_iv_2a,ifsa,ifsa_v23_track_scale_tau0p5_hold0p5_disc0p001,csp_lda,transductive_unlabeled_all,__summary__,0.509837962962963,0.3464506172839506,5184,377.5418817875907,,,,,,,,,,,,,,,0.15769490102540912,0.21025986803387886,0.0,0.8420031054528384,0.1111111111111111,0.0,3.7217706966401867,4.876273992741678,2.438136996370839,0.8999999999999999,0.004063866729376832,0.001,0.0078125,0.0078125,1.0
