dataset,target_data_usage,model,method,variant,acc_mean,acc_std,runtime_sec_sum,baseline_variant,baseline_acc_mean,p_value,p_holm,effect_rank_biserial,neg_transfer_ratio,p_vs_ea,p_holm_vs_ea,effect_vs_ea,p_vs_tsa,p_holm_vs_tsa,effect_vs_tsa
bci_iv_2a,transductive_unlabeled_all,csp_lda,identity,identity,0.41550925925925924,0.14373857224436581,175.524583871942,identity,0.41550925925925924,,,,,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ea,ea,0.4915123456790123,0.15493136788291892,231.96661342447624,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ra,ra,0.5090663580246912,0.15669972359484213,249.9052271861583,identity,0.41550925925925924,0.0078125,0.8515625,0.9555555555555556,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ra_riemann,ra_riemann,0.5077160493827161,0.15712551564719018,195.7740716370754,identity,0.41550925925925924,0.01171875,1.0,0.9333333333333333,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,coral,coral,0.5102237654320988,0.15779150016807464,264.859699386172,identity,0.41550925925925924,0.0078125,0.8515625,0.9555555555555556,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa,0.46064814814814814,0.15924029044280422,754.3007918600924,identity,0.41550925925925924,0.12890625,1.0,0.6,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp,0.4932484567901234,0.15147617807857278,1001.0179612417705,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,0.734375,1.0,0.15555555555555556,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_no_spec,0.4955632716049383,0.1584935168511021,1055.0920683075674,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,0.3125,1.0,0.4,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_no_energy,0.4922839506172839,0.15259792303481873,1058.0884194057435,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,0.8203125,1.0,0.1111111111111111,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_k0,0.4915123456790123,0.15493136788291892,898.6005397611298,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,1.0,1.0,0.0,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,coral,coral_v14_lw,0.4959490740740741,0.16166821036634121,232.30348847666755,identity,0.41550925925925924,0.02734375,1.0,0.8222222222222222,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_15,0.4836033950617284,0.174686580160445,741.0933547355235,identity,0.41550925925925924,0.0546875,1.0,0.7333333333333333,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_2,0.45775462962962965,0.15588789059086783,851.4679353865795,identity,0.41550925925925924,0.12890625,1.0,0.6,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_25,0.4565972222222222,0.15811721895045633,826.0819298601709,identity,0.41550925925925924,0.12890625,1.0,0.6,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_2_no_energy,0.453125,0.1609301021612669,785.3904977864586,identity,0.41550925925925924,0.1640625,1.0,0.5555555555555556,0.2222222222222222,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_2_no_spec,0.4538966049382716,0.1571590816773273,773.5610201335512,identity,0.41550925925925924,0.12890625,1.0,0.6,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_3,0.45968364197530864,0.15868515641545708,774.3425230812281,identity,0.41550925925925924,0.12890625,1.0,0.6,0.1111111111111111,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v11_identity_output,0.4652777777777778,0.1687960756713172,889.5611026827246,identity,0.41550925925925924,0.08984375,1.0,0.6444444444444445,0.2222222222222222,,,,,,
bci_iv_2a,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v11_logema,0.4728009259259259,0.17453098318474913,1010.1536835790612,identity,0.41550925925925924,0.09765625,1.0,0.6444444444444445,0.2222222222222222,,,,,,
