dataset,target_data_usage,model,method,variant,acc_mean,acc_std,runtime_sec_sum,baseline_variant,baseline_acc_mean,p_value,p_holm,effect_rank_biserial,neg_transfer_ratio,p_vs_ea,p_holm_vs_ea,effect_vs_ea,p_vs_tsa,p_holm_vs_tsa,effect_vs_tsa
bci_iv_2b,transductive_unlabeled_all,csp_lda,identity,identity,0.6982368074989335,0.08279826899465476,37.54487539594993,identity,0.6982368074989335,,,,,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea,ea,0.7284955233871643,0.11343481452450965,45.49578065099195,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ra,ra,0.7269426289034132,0.11347291458780275,56.139947006478906,identity,0.6982368074989335,0.1640625,1.0,0.5833333333333334,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ra_riemann,ra_riemann,0.7268055077781599,0.11316921135947722,31.21725690504536,identity,0.6982368074989335,0.17578125,1.0,0.5333333333333333,0.3333333333333333,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,coral,coral,0.7269426289034132,0.11347291458780275,45.490017412696034,identity,0.6982368074989335,0.1640625,1.0,0.5833333333333334,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa,0.7272289317180958,0.10729472241138198,152.26497526606545,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_spec,0.7273221363778639,0.10839241744805692,140.5235157404095,identity,0.6982368074989335,0.09765625,1.0,0.6444444444444445,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp,0.7260115636792623,0.10667991453823977,139.0256912088953,identity,0.6982368074989335,0.07421875,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_energy,0.727379081868246,0.10761002504972673,143.2281160694547,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_trigger,0.7265995742904928,0.10692918819076325,147.05786274699494,identity,0.6982368074989335,0.0703125,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp,0.7276804022805053,0.11323068744419877,163.71108802594244,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,0.7421875,1.0,-0.16666666666666666,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_no_spec,0.7278863615937919,0.11388123299239235,205.9699302050285,identity,0.6982368074989335,0.1640625,1.0,0.5555555555555556,0.2222222222222222,0.5,1.0,-0.5,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_no_energy,0.7274998037252938,0.11376355486756443,162.5831232671626,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,0.71875,1.0,-0.16666666666666666,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ea_pp,ea_pp_k0,0.7284955233871643,0.11343481452450965,152.2380071268417,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,1.0,1.0,0.0,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_no_damp_lr0_15,0.7267119028212939,0.10413057324498212,139.9935865108855,identity,0.6982368074989335,0.0390625,0.6640625,0.7777777777777778,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v11_logmean_shrink0p1,0.726107867413337,0.10291379395879463,50.225321780424565,identity,0.6982368074989335,0.07421875,1.0,0.6888888888888889,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v13_tg_beta1_full,0.7274311334037855,0.1130365216739741,48.276553445961326,identity,0.6982368074989335,0.12890625,1.0,0.6,0.2222222222222222,,,,,,
bci_iv_2b,transductive_unlabeled_all,csp_lda,ifsa,ifsa_v21_track_hold_q0p90_disc0p001,0.7178063770685029,0.11215721340740266,52.42841383535415,identity,0.6982368074989335,0.15625,1.0,0.7142857142857143,0.1111111111111111,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,identity,identity,0.7088344923871239,0.09863449148201742,11.486279631499201,identity,0.7088344923871239,,,,,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,ea,ea,0.7273900448436053,0.11363768363328206,46.282046891283244,identity,0.7088344923871239,0.25,1.0,0.4666666666666667,0.3333333333333333,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,ra,ra,0.7292260010268268,0.1115629743174998,41.451508440077305,identity,0.7088344923871239,0.30078125,1.0,0.4222222222222222,0.4444444444444444,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,coral,coral,0.7292260010268268,0.1115629743174998,41.45915625663474,identity,0.7088344923871239,0.30078125,1.0,0.4222222222222222,0.4444444444444444,,,,,,
bci_iv_2b,transductive_unlabeled_all,mdm,tl_center_scale,tl_center_scale,0.7267721539909362,0.11228082117114926,15.436185888946056,identity,0.7088344923871239,0.42578125,1.0,0.3333333333333333,0.5555555555555556,,,,,,
bci_iv_2b,transductive_unlabeled_all,tangent_lda,tsa,tsa,0.6960909697106809,0.12313266575504604,60.25166844483465,tangent_identity,0.7254313136666078,0.01953125,0.0390625,-0.8666666666666667,0.8888888888888888,,,,,,
bci_iv_2b,transductive_unlabeled_all,tangent_lda,tsa_ss,tsa_ss,0.7254313136666078,0.1084731503370769,57.69269902771339,tangent_identity,0.7254313136666078,1.0,1.0,0.0,0.0,,,,0.01953125,0.01953125,0.8666666666666667
